Time (s),Energy Decay (dB)
1.148375,-0.0667725657908633
1.1484375,-0.06677296182916478
1.1485,-0.0667737803727519
1.1485625,-0.06677527271145543
1.148625,-0.06677529734751853
1.1486875,-0.06677596544182623
1.14875,-0.06677637653045372
1.1488125,-0.06677640070388438
1.148875,-0.0667766467685866
1.1489375,-0.06677667378363053
1.149,-0.06677672246157797
1.1490625,-0.06677675299136247
1.149125,-0.06677679119525311
1.1491875,-0.0667769570107544
1.14925,-0.06677696627449659
1.1493125,-0.06677721676609434
1.149375,-0.0667775925692956
1.1494375000000001,-0.06677760841084532
1.1495,-0.0667784648961009
1.1495625,-0.06677889325171116
1.1496250000000001,-0.06677918857118459
1.1496875,-0.06678070999444058
1.14975,-0.06678096048625377
1.1498125000000001,-0.06678164318417579
1.149875,-0.06678314276994723
1.1499375,-0.06678321700277723
1.1500000000000001,-0.06678419832731661
1.1500625,-0.06678578248498186
1.150125,-0.06678584886832695
1.1501875,-0.06678686870221219
1.15025,-0.0667883901281587
1.1503125,-0.06678842330011747
1.150375,-0.06678935252946736
1.1504375,-0.06679025906113373
1.1505,-0.0667902613063647
1.1505625,-0.06679085418772378
1.150625,-0.06679113207019202
1.1506875,-0.06679114575426386
1.15075,-0.0667912795231407
1.1508125,-0.0667913121579322
1.150875,-0.06679131226537018
1.1509375,-0.06679131398437577
1.151,-0.06679132161684763
1.1510625,-0.06679132586173842
1.151125,-0.06679146399829788
1.1511875,-0.06679168712039152
1.15125,-0.06679168783079667
1.1513125,-0.06679215785825246
1.151375,-0.0667927439186616
1.1514375000000001,-0.06679277872853291
1.1515,-0.06679423154319121
1.1515625,-0.06679511565862224
1.1516250000000001,-0.06679537663413969
1.1516875,-0.06679773450068821
1.15175,-0.06679861861683235
1.1518125000000001,-0.06679901465750962
1.151875,-0.06680129138177376
1.1519375,-0.06680195223787491
1.1520000000000001,-0.06680252926603324
1.1520625,-0.06680526007192644
1.152125,-0.06680607327161707
1.1521875,-0.06680671263860916
1.15225,-0.06680945324375023
1.1523125,-0.06680995842299335
1.152375,-0.06681080671204236
1.1524375,-0.06681267062260182
1.1525,-0.06681273931518594
1.1525625,-0.06681365433059623
1.152625,-0.06681468917950022
1.1526875,-0.06681471523002741
1.15275,-0.0668150202871738
1.1528125,-0.06681536239086744
1.152875,-0.06681539449303274
1.1529375,-0.06681542349044725
1.153,-0.06681546832735717
1.1530625,-0.06681547730833315
1.153125,-0.06681549751553018
1.1531875,-0.06681558434552168
1.15325,-0.06681558751166673
1.1533125,-0.06681598729011826
1.153375,-0.06681678454707143
1.1534375000000001,-0.06681678476633385
1.1535,-0.06681820564031926
1.1535625,-0.06681951918805545
